post,tags
add negative margin to scroll to id  i am jumping to an id using domain.com/#section however the scroll needs a negative margin added too the scroll  meaning it scrolls to far down. is it possible to do this within the url without using css  jquery or javascript.,html
object reference not set to an instance of an object  i keep getting the following error and i don t know how to fix it. any help would be great please    exception details:nullreferenceexception was unhandled by users code: object reference not set to an instance of an object.   <pre><code>protected void lbupload_click(object sender  eventargs e)     {            error: if(fileupload.postedfile.filename == string.empty)         {              labelmsg.visible = true;             return;         }         else     {         string[] fileext = fileupload.filename.split( . );         string fileex = fileext[fileext.length - 1];         if (fileex.tolower() ==  csv )         {             fileupload.saveas(server.mappath( csvload//  + fileupload.filename));         }         else         {             labelmsg.visible = true;             return;         }     }     csvreader reader = new csvreader(fileupload.postedfile.inputstream);     string[] headers = reader.getcsvline();     datatable dt = new datatable();     foreach (string strheader in headers)     dt.columns.add(strheader);     string[] data;     while ((data = reader.getcsvline()) != null)     dt.rows.add(data);     gridview1.datasource = dt;     gridview1.databind();     if (fileupload.hasfile)         try         {             fileupload.saveas(server.mappath( confirm// ) +             fileupload.filename);             labelgrid.text =  file name:   +             fileupload.postedfile.filename +  &lt;br&gt;  +             fileupload.postedfile.contentlength +   kb&lt;br&gt;  +              content type:   +             fileupload.postedfile.contenttype +  &lt;br&gt;&lt;b&gt;uploaded successfully ;         }         catch (exception ex)         {             labelgrid.text =  error:   + ex.message.tostring();          }     else     {         labelgrid.text =  you have not specified a file. ;     }     file.delete(server.mappath( confirm//  + fileupload.filename)); } </code></pre>,asp.net
android: detect when another activity is launched (or your activity loses focus)  like the title says  i need to detect when my app loses focus because another app is launched (phone call comes in  or user hits home etc).    overriding activity.onstop does not work because that is called even when switching activities within my app.,android
how to overcome the following issue using mysql   hello i am using the following version of mysql:   <pre><code>your mysql connection id is 3 server version: 5.7.18 homebrew </code></pre>   i am trying to use the following command to load a csv as follows:   <pre><code>   mysql&gt; load data local infile  /users/adolf/downloads/db2.csv  into table info; </code></pre>   however i am getting the following error:   <pre><code>    error 1148 (42000): the used command is not allowed with this mysql version </code></pre>   so i really would appreciate support to overcome that issue,mysql
element won t center  i created a carousel with the following html code   <pre><code>&lt;div id= projcarousel &gt;    &lt;div class= active &gt;        &lt;a href= http://www.#.com  target= _blank &gt;#&lt;/a&gt;        &lt;img id= projimg  src= img/#.png  class= active  /&gt;    &lt;/div&gt;    &lt;div&gt;        &lt;a href= http://www.#.com  target= _blank &gt;#&lt;/a&gt;        &lt;img id= projimg  src= img/#.png  /&gt;    &lt;/div&gt; &lt;/div&gt; </code></pre>   i noticed that the #projcarousel div a were not centering. i did some searching and found that the proper way to center a element would be with the css   <pre><code>#projcarousel div a {    margin-left:auto;    margin-right:auto; } </code></pre>   i ve tried multiple things and narrowed down that the problem is either with me using the position:relative or display:inline. i am not sure what the exact problem is with using the two together like this. does anyone have any advice on why its not working. this is the css i am currently using for the carousel.   <pre><code>#projcarousel {   margin: 0px;   padding: 0px;   position: absolute;   min-height: 100%;   min-width:100%; }  #projimg {  width:100%;  height: auto;  margin-top: -24px; }  #projcarousel div {  padding: 0px;  margin: 0px;  position:absolute;  min-width:100%;  min-height: 100% }  #projcarousel div a {   position: relative;   top: 100px;   left: 44.5%;   padding: 20px;   border: 10px solid rgba(255  255  255  .6);   font-size: 20px;       display: inline;   text-decoration: none;   text-align: center;  width: 200px; } </code></pre>   on a side note  i thought it might be easier to just remove the  tags altogether and just use    <pre><code>  background-image:url(img/#.png); </code></pre>   but that does not want to work either. sorry about all the text.,css
.net based class library - many ways to do a specific task - what are the top x vs y articles and books  very few books and articles ever go into detail about a) why multiple methods are provided to complete a specific task in a specific scenario and b) what considerations a developer should take when choosing between methods.    my specific case in point is the simple opening of a text file (classic first section of any io chapter).  most books/articles just say  hey  here s how to open a text file: streamreader with file path. tada and end of section!     some do at least list the fact that there are multiple classes that allow you to do this e.g:   <ul> <li>file class</li> <li>fileinfo class</li> <li>filestream class</li> <li>streamreader class</li> <li>etc  etc  etc</li> </ul>   fewer discuss that there are even more overloads so you can use each class in several different ways.    even fewer even try to enter into any discussion about how to select the best method for the task at hand.  (some of course do and these are the ones that usually end up in the top three when someone posts a poll-like question about  best  books.)    this lack of discussion drives me mad.  i feel like i should toss a coin.    this question has the joint purposes of:   <ul> <li>finding out if anyone thinks this is a worthwhile topic in the first place</li> <li>offering people an opportunity to list any interesting articles or books that specifically go into these kinds of discussions</li> </ul>   i ve made this a wiki because other similar questions were made into wikis.  and if people feel this question has no merit  i apologize and feel free to vote it closed.    <strong>another example</strong>    i am currently reading about binarywriter and binaryreader.  the last 20 articles i have hit using google and at least 5 books on o reilly safari have shown me how to write a single integer and read it back.  a couple included an example of how to use writestring and readstring.  exactly one let me know that writestring() and readstring() use a special encdoding meaning if you do writestring() and readchar() you get a prefix.  there are lots of ways to use these classes.  why do hardly any articles discuss this     <strong>one more</strong>    another example of what i mean is when a book or article lists class members and descriptions word for word from msdn without adding any value.  i do not need a list of class members because i can get that from msdn.  from an author  i need experience  real world knowledge i.e. stuff that will expand me as a developer.  not stuff i can look up in five seconds.  all the member lists and simple i-don t-do-anything-useful examples in the world aren t going to really help anyone who wants to learn their stuff.    <strong>last one - i promise</strong>    just reading about stringwriter and stringreader.  same thing.  lots of articles and books giving simple i-don t-do-anything-useful examples.  some at least say something vague like i may want to use stringwriter if i want to write characters to an underlying buffer.  how would i know if i want to do that   what real world scenarios would require it   i could go on all night.    <strong>ok so i lied...</strong>    <a href= https://stackoverflow.com/questions/668361/fastest-implementation-of-a-true-random-number-generator-in-c >this question</a> has answers from merhdad and jalf that both explain how you would choose between two methods of generating a random number and demonstrates (i think) the kind of information i am talking about.  jalf says  something along the lines of  in most cases use option a. but in this specific case when you are trying to achieve result x  use option b. and by the way  this will have negative effect m.     <strong>x vs y articles</strong>    i figured out i can get what i want by searching for x vs y articles e.g. <a href= http://www.aspfree.com/c/a/c-sharp/a-look-at-c-sharp-directory-and-directoryinfo-classes/  rel= nofollow noreferrer >this one</a> that discusses how to choose between the directory and directoryinfo classes (and file and fileinfo classes).      so now this question is:    can you list any useful x vs y articles,.net
image and text display not working  i have an html file like this.i am getting the output like this in picture1.but i need an output like this in picture2.mainly text should be parallel to the image   <pre><code>&lt;html xmlns=\ http://www.w3.org/1999/xhtml\  lang=\ en-us\  xml:lang=\ en-us\ &gt; &lt;head&gt; &lt;title&gt;migrainemate paint graph&lt;/title&gt; &lt;meta http-equiv=\ content-type\  content=\ text/html; charset=iso-8859-1\  /&gt; &lt;link href=\ default.css\  rel=\ stylesheet\  type=\ text/css\ /&gt; &lt;/head&gt; &lt;body&gt; &lt;img  src=\ justin.png\  alt=\ justin biber\ /&gt; &lt;div id=\ notification\ &gt; &lt;h1&gt;please wait  graph may take a moment to load&lt;/h1&gt;  &lt;/div&gt; &lt;/body&gt; &lt;/html&gt; </code></pre>   and css file is    <pre><code>#notification  {     width: 860px;     height: 730px;     margin: auto;     background-color: transparent; }  #notification h1  {     padding-top: 15px;     padding-left:0px;     font-family: georgia   times new roman   times  serif;     font-size:20px; } </code></pre>,html
graph implementation  i need to create a graph implementation from input files of the type formatted below where s will be the starting node from which i will implement a number of search algorithms. my question is how i turn this into a graph  right now i have written code to read the input file into an array of strings (w/ each input into the array being a line of the maze).    i was thinking i would then just find the starting node (where s is) and start building outward as i implement the search. is this a better approach then creating all the nodes at the start  i will be using python.,python
should i always wrap code in try catch blocks for javascript   i ve neglected exception handling long enough  mainly because i never see it used in the snippets i see on so  2 years writing javascript and i didn t even know javascript had exception handling. other languages it is very common to see exception handling  is exception handling less important to javascript  what are some typical scenarios one should always use exception handling in javascript and shouldn t     does this rule apply for javascript too     <a href= https://stackoverflow.com/questions/2737328/why-should-i-not-wrap-every-block-in-try-catch >why should i not wrap every block in &quot;try&quot;-&quot;catch&quot; </a>,javascript
different behaviour of ++ operator in objective c   i compiled a program in objective c.   <pre>int a = 3;  a = (a++) * (a++);  nslog(@ a= %d  a);  </pre>   return the output: a=11    whereas in c# the output is 12.    can anyone explain me the difference in the behaviour of ++ operator in objective c,objective-c
